match_index,time_seconds,team_name,paradigm,alive_agents,cumulative_eliminations,cumulative_accuracy,cumulative_win_rate,obstacle_count
10,6.9,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,6.9,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,7.0,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,7.0,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,7.0,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,7.1,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,7.1,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,7.1,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,7.2,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,7.2,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,7.2,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,7.3,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,7.3,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,7.3,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,7.4,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,7.4,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,7.4,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,7.5,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,7.5,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,7.5,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,7.6,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,7.6,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,7.6,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,7.7,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,7.7,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,7.7,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,7.8,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,7.8,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,7.8,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,7.9,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,7.9,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,7.9,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,8.0,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,8.0,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,8.0,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,8.1,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,8.1,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,8.1,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,8.2,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,8.2,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,8.2,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,8.3,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
